Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
31169,000000000000000000;;2025-12-05;TUB PARQUING;OLOT;COR;231FON;Fontaneria;Pendiente;Crítica;Sin Asignar;NWC;0;FT1704;FON;;;30;52;Cataluña;231;2025-12-05;COR
31168,000000000000000000;;2025-12-05;Puerta cabina RX;PRAT DEL LLOBREGAT;COR;222EMD;Electromedicina;Pendiente;Crítica;RADIODIAGNOSTICO;NWC;0;BV0815;EMD;;;30;52;Cataluña;222;2025-12-05;COR
31166,000000000000000000;;2025-12-05;Instalación de testigos en grieta.;SANTA CRUZ DE TENERIFE 2;COR;106OBC;Reparaciones Generales [Obra Civil];Pendiente;Urgente;ALBAÑILERIA;MON01;0;EC3803;OBC;;;30;37;Canarias;106;2025-12-05;COR
31165,000000000000000000;;2025-12-05;Va48 Resolución de las incidencias detectadas en la revisión preventiva de BT.;OFICINAS VIA AUGUSTA 48;COR;151ELE;Electricidad;Pendiente;No Urgente;ELECTRICIDAD;CLE01;0;AJVA48;ELE;;;30;7;Cataluña;151;2025-12-05;COR
31164,000000000000000000;;2025-12-05;Va36 Resolución de las incidencias detectadas en la revisión preventiva de BT;OFICINAS VIA AUGUSTA 36;COR;150ELE;Electricidad;Pendiente;No Urgente;ELECTRICIDAD;CLE01;0;A0VA36;ELE;;;30;7;Cataluña;150;2025-12-05;COR
31163,000000000000000000;;2025-12-05;Va18 Resolución de las incidencias detectadas en la revisión preventiva de BT.;OFICINAS VIA AUGUSTA 18;COR;204ELE;Electricidad;Pendiente;No Urgente;ELECTRICIDAD;CLE01;0;BDVA18;ELE;;;30;7;Cataluña;204;2025-12-05;COR
31162,000000000000000000;;2025-12-05;Es necesario la revision de la central de PCi.;HOSPITALET DEL LLOBREGAT;COR;205PCI;PCI;En Proceso;No Urgente;Sin Asignar;JOM01;0;BE0806;PCI;;;40;9;Cataluña;205;2025-12-05;COR
31158,000000000000000000;;2025-12-05;Es necesario suministrar climatizadores portatiles, falla el clima de la zona sanitaria.;VIC;COR;219AAC;Climatizacion;Pendiente;Crítica;CLIMA;CLE01;0;BT0811;AAC;;;30;7;Cataluña;219;2025-12-05;COR
31157,000000000000000000;;2025-12-05;Va36 Pl6 2 estores de la sala de reuniones de nuestra planta estropeado, están encallados.;OFICINAS VIA AUGUSTA 36;COR;150PL6ELE;Electricidad;Pendiente;No Urgente;ELECTRICIDAD;CLE01;0;A0VA36;ELE;;;30;7;Cataluña;150;2025-12-05;COR
31155,000000000000000000;;2025-12-05;Revision MENSUAL CLIMATIZACION  (>70 kW);ZARAGOZA;PRV;044AAC;Climatizacion;Pendiente;No Urgente;Sin Asignar;VEE01;0;FG5001;AAC;;;30;8;Aragón;044;2025-12-05;PRV
31154,000000000000000000;;2025-12-05;parámetros diarios aljibe (RD 487/2022);HOSPITAL DE COSLADA;H001PREVL;FGALJ;DEP. AGUA SANITARIA;Pendiente;No Urgente;Sin Asignar;H001-FUL;0;H001;H001FGALJ;;;30;41;Comunidad de Madrid;H001;2025-12-05;H001PREVL
31153,000000000000000000;;2025-12-05;Revision SEMESTRAL PUERTAS AUTOMATICAS;CIUTADELLA;PRV;652PUA;Accesos Y Puertas Automaticas;Pendiente;No Urgente;Sin Asignar;PRO01;0;FK0703;PUA;;;30;126;Islas Baleares;652;2025-12-05;PRV
31152,000000000000000000;;2025-12-05;Revision MENSUAL ASCENSORES;BARCELONA - CASP;PRV;224ASC;Ascensores;Pendiente;No Urgente;Sin Asignar;CLE01;0;BX0803;ASC;;;30;7;Cataluña;224;2025-12-05;PRV
31148,000000000000000000;;2025-12-05;lectura contadores de agua;HOSPITAL DE COSLADA;H001PRED;EMCOA;CONTADORES DE AGUA;Pendiente;No Urgente;Sin Asignar;H001-FUL;0;H001;H001EMCOA;;;30;41;Comunidad de Madrid;H001;2025-12-05;H001PRED
31146,000000000000000000;;2025-12-05;temperatura diaria acumuladores;HOSPITAL DE COSLADA;H001PREVL;FGACU;ACUMULADORES ACS;Pendiente;No Urgente;Sin Asignar;H001-FUL;0;H001;H001FGACU;;;30;41;Comunidad de Madrid;H001;2025-12-05;H001PREVL
31145,000000000000000000;;2025-12-05;medición del agua del canal;HOSPITAL DE COSLADA;H001PREV;FGCOL003;COLECTOR AFCH CANAL ISABEL II;Pendiente;No Urgente;Sin Asignar;H001-FUL;0;H001;H001FGCOL;;;30;41;Comunidad de Madrid;H001;2025-12-05;H001PREV
31144,000000000000000000;;2025-12-05;medición de turbidez en circuito de ACS;HOSPITAL DE COSLADA;H001PREVL;FGCOL007;COLECTOR RET ACS SECUNDARIO;Pendiente;No Urgente;Sin Asignar;H001-FUL;0;H001;H001FGCOL;;;30;41;Comunidad de Madrid;H001;2025-12-05;H001PREVL
