Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
31342;;11/12/2025;Jerez de la Frontera - Modificación mesa.;JEREZ DE LA FRONTERA;COR;006DIM;DIE - Mantenimiento;Pendiente;No Urgente;Sin Asignar;ALA01;0;KI1103;DEP;;;30;62;Andalucía;006;11/12/2025;COR
31341;;11/12/2025;RAYOS NO ARRANCA;BURGOS;COR;501DPIRX;Equipo de RX;Pendiente;No Urgente;RADIODIAGNOSTICO;RAD01;0;JC0901;EMD;;;30;5;Castilla y León;501;11/12/2025;COR
31340;;11/12/2025;Jerez de la Frontera - Cerradura baño;JEREZ DE LA FRONTERA;COR;006DIM;DIE - Mantenimiento;Pendiente;No Urgente;Sin Asignar;ALA01;0;KI1103;DEP;;;30;62;Andalucía;006;11/12/2025;COR
31339;;11/12/2025;Jerez de la Frontera - PCI;JEREZ DE LA FRONTERA;COR;006PCI;PCI;Pendiente;No Urgente;Sin Asignar;JOM02;0;KI1103;PCI;;;30;9;Andalucía;006;11/12/2025;COR
31338;;11/12/2025;Écija - Bloqueo cerradura puerta principal;ECIJA;COR;020DIM;DIE - Mantenimiento;Pendiente;No Urgente;CERRAJERÍA;ALA01;0;KO4103;DEP;;;30;62;Andalucía;020;11/12/2025;COR
31335;;11/12/2025;Es necesario ir urgente a revisar el cuadro electrico.;VIC;COR;219ELE;Electricidad;Pendiente;No Urgente;ELECTRICIDAD;CLE01;0;BT0811;ELE;;;30;7;Cataluña;219;11/12/2025;COR
31334;;11/12/2025;MONTAJE ADAPTADOR PROAS;AVILES;COR;060OBC;Obra Civil;Pendiente;No Urgente;MOBILIARIO;VEE01;0;LB3303;OBC;;;30;53;Principado de Asturias;060;11/12/2025;COR
31333;;11/12/2025;Clima zona Administración;TORREJON DE ARDOZ;COR;760AAC01;Maquina Clima 01 [Zona Administracion];Pendiente;No Urgente;CLIMA;ASIME;0;CJ2809;AAC;;;30;34;Comunidad de Madrid;760;11/12/2025;COR
31331;;11/12/2025;Cambiar de enchufes los radiadores de Silla para que no salte la tension;SILLA;COR;406AAC01;Maquina Clima 01 [Zona Administracion];Pendiente;No Urgente;CLIMA;COMSA01;0;GP4603;AAC;;;30;39;Comunidad Valenciana;406;11/12/2025;COR
31330;;11/12/2025;LA CALEFACCION DEL CENTRO NO FUNCIONA;LORCA;COR;801AAC01;Maquina Clima 01 [Zona Administracion];Pendiente;No Urgente;CLIMA;COMSA01;0;GI3003;AAC;;;30;39;Región de Murcia;801;11/12/2025;COR
31328;;11/12/2025;CÓRDOBA_GOTERA EN PROAS;CORDOBA;SIN;007FON;Fontaneria;Pendiente;Urgente;CLIMA;COMSA01;0;KE1401;FON;;;30;39;Andalucía;007;11/12/2025;SIN
31327;;11/12/2025;Conectividad impresora multifunción;AVILES;COR;060TELCAB;Cableado;Pendiente;Urgente;COMUNICACIONES;VEE01;0;LB3303;TEL;;;30;8;Principado de Asturias;060;11/12/2025;COR
31315;;10/12/2025;Activación llaves magnéticas puerta acceso;MERCABARNA;COR;212DIM;DIE - Mantenimiento;Pendiente;Urgente;ACCESOS Y PUERTAS AUTOMATICAS;CLE01;0;BM0826;DEP;;;30;7;Cataluña;212;10/12/2025;COR
31314;;10/12/2025;Sellado provisional fachada;AVILES;COR;060OBC;Obra Civil;Pendiente;No Urgente;ALBAÑILERIA;VEE01;0;LB3303;OBC;;;30;53;Principado de Asturias;060;10/12/2025;COR
31310;;10/12/2025;Acompañamiento OCA BT (Segunda visita);AVILES;COR;060ELE;Electricidad;Pendiente;No Urgente;ELECTRICIDAD;VEE01;0;LB3303;ELE;;;30;8;Principado de Asturias;060;10/12/2025;COR
31309;73,5;10/12/2025;AVERIA CLIMA- ZONA RECEPCIÓN;MOSTOLES NUEVO;COR;757AAC24;Termostato;Terminada;Urgente;CLIMA;ASIME;0;CH2807;AAC;11/12/2025;;70;34;Comunidad de Madrid;757;10/12/2025;COR
31308;;10/12/2025;Es necesario la adecuacion del cableado del cuadro electrico.;VIC;COR;219ELE;Electricidad;Pendiente;No Urgente;ELECTRICIDAD;CLE01;0;BT0811;ELE;;;30;7;Cataluña;219;10/12/2025;COR
31307;;10/12/2025;Es necesario la adecuacion del cableado del cuadro electrico.;VIC 2;COR;220ELE;Electricidad;Pendiente;No Urgente;Sin Asignar;CLE01;0;BT0825;ELE;;;30;7;Cataluña;220;10/12/2025;COR
